image,caption
../abc\EGFR\29973561_page4_305_1.jpg,Synergistic effects of metformin treatment in combination with geﬁtinib a selective egfr tyrosine kinase inhibitor in LKB1 wild-type nsclc cell lines
../abc\EGFR\29973561_page4_305_1.jpg,Activation of signal transducer and activator of transcription 3 STAT3 signaling in egfr mutant non-small-cell lung cancer NSCLC
../abc\EGFR\29973561_page4_305_1.jpg,Acquired resistance to the mutant-selective EGFR inhibitor azd9291 is associatedwith increased dependence on Ras signaling in preclinical models
../abc\EGFR\30060526_page55_1599_0.jpg,In this study an attemptwas made to try to understand the mechanisms of resistance to osimertinib in patients with diseaseprogression investigating circulating tumor DNA: 50% of these patients had no-detectable ctDNAand in the remaining patients the molecular mechanisms of tumor resistance were heterogeneous MET ampliﬁcation EGFR and KRAS ampliﬁcation MEK1 KRAS or PI3KC mutations EGFR C797Smutations JAK2 mutations HER2 exon 20 mutation ; importantly there was no evidence of acquiredEGFR T790M mutation in progressing patients treated with osimertinib [331]
../abc\EGFR\30060526_page55_1599_0.jpg,Interestingly the Chinese patients show an increased incidence of NSCLC with EGFR mutationscompared to Caucasian patients [333]
../abc\EGFR\30060526_page55_1599_0.jpg,These tumors are characterized by a mutational MS3 signaturethat is associated with inﬂammatory tumor inﬁltrating B lymphocytes: as a consequence the frequencyof EGFR mutations is very high among lung cancers with a MS3 signature [333]
../abc\EGFR\30060526_page55_1599_0.jpg,According to these observations it was suggested that inﬂammatory inﬁltration maycontribute to the accumulation of EGFR mutations particularly in never-smoker patients
../abc\EGFR\30060526_page55_1599_0.jpg,The various combinations of EGFR mutants determinea spectrum of sensitivity resistance to the various EGFR TKIs and studies are in progress to deﬁneEGFR TKIs able to inhibit NSCLCs bearing triple mutants sensitizing mutations + T790M + C797S :these new mutants such as EA1045 could represent the fourth-generation of EGFR TKIs [334]
../abc\EGFR\30060526_page55_1599_0.jpg,The history of treatments with ALK-rearranged NSCLCs is very similar to that describedfor EGFR mutant patients with progressive identiﬁcation and introduction in clinical use of ﬁrst second and third-generation ALK inhibitors
../abc\EGFR\30060526_page55_1599_0.jpg,The main mechanisms of crizotinib resistance is related to the presence of ROS1resistance mutations particularly of the G2031R ROS1 mutation activation of the wild-type EGFR signaling KRAS andKIT mutations
../abc\EGFR\30060526_page55_1599_0.jpg,Following these guidelines the genes whose alterations have to be tested havebeen grouped into three different categories: a a set of genes that must be offered by all laboratories that test lung cancers including EGFR ALK and ROS1; b a second set of genes that should beincluded in any expanded set of genes including BRAF MET RET ERBB2 and KRAS; c KRAS testingmay be performed also as a single-gene test to exclude patients from expanded panel testing [352 353]
../abc\EGFR\30060526_page55_1599_0.jpg,For patients with LSQCC without EGFR ALK orROS1 alterations the ﬁrst-line therapeutic recommendations are the following: a with high PD-L1expression single-agent pembrolizumab is recommended; b with low PD-L1 expression a varietyof combination cytotoxic chemotherapies are recommended platinum doublet
../abc\EGFR\30060526_page55_1599_0.jpg,The second-linetherapeutic treatment for lung adenocarcinoma patients without a tumor with EGFR ALK andROS1 alterations implies: a in both patients with high PD-L1 expression who received ﬁrst-linechemotherapy and have not received prior immunotherapy and patients with low or unknown tumorPD-L1 expression who received ﬁrst-line chemotherapy single-agent nivolumab atezolizumab orpembrolizumab is recommended; b in patients who received an immune checkpoint inhibitor asﬁrst-line therapy a variety of cytotoxic chemotherapies are recommended; c in patients who receivedcytotoxic chemotherapy and pembrolizumab as ﬁrst-line treatment docetaxel ± ramicirumab orgemcitabine is recommended
../abc\EGFR\30060526_page55_1599_0.jpg,The same applies to patients with LSQCC without EGFR ALK orROS1 alterations for the second-line treatment
../abc\EGFR\30060526_page55_1599_0.jpg,Genome-wide DNA methylation analyses in lung adenocarcinomas:Association with EGFR KRAS and TP53 mutation status gene expression and prognosis
../abc\EGFR\30060526_page55_1599_0.jpg,Clarifying the spectrum of driver oncogene mutations in biomarker-veriﬁedsquamous carcinoma of lung:Lack of EGFR KRAS and presence of PIK3CA AKT1 mutations
../abc\EGFR\30060526_page55_1599_0.jpg,Developemnt of new mouse lung tumor models expressing EGFR T90M mutantsassociated with clinical resistance to kinase inhibitors
../abc\EGFR\30060526_page55_1599_0.jpg,SOX2 expressionis associated with EGFR fusion genes and predicts favorable outcome in lung squamous cell carcinomas
../abc\EGFR\30060526_page55_1599_0.jpg,Adenosquamous carcinoma of the lung:A microdissection study of KRAS and EGFR mutational ampliﬁcation status in a Western patient population
../abc\EGFR\30060526_page55_1599_0.jpg,Establishment of patient-derived non-small cell lung cancer xenograft models with genetic aberrationswithin EGFR KRAS and FGFR1: Useful tools for preclinical studies of targeted therapies
../abc\EGFR\30060526_page55_1599_0.jpg,Targeting the FOXO1 KLF6 axis regulates EGFR signaling and treatment response
../abc\EGFR\30060526_page55_1599_0.jpg,EZH2 inhibition sensitizes BRG1 and EGFR mutant lung tumors to Topollinhibitors
../abc\EGFR\30060526_page55_1599_0.jpg,A large-scalecross-sectional study of ALK-rearrangements and EGFR mutations in non-small-cell lung cancer in ChineseHan population
../abc\EGFR\30060526_page55_1599_0.jpg,Afatinib versus geﬁtinib in patients with EGFR mutation-positive advanced non-small-cell lung cancer:Overall survival data from the phase IIb LUX-Lung 7 trial
../abc\EGFR\30060526_page55_1599_0.jpg,Osimertinib or platinum-pemetrexed in EGFR T790M-positive lung cancer
../abc\EGFR\30060526_page55_1599_0.jpg,Osimertinib as ﬁrst-line treatment of EGFR mutation -positive advancednon-small-cell-lung cancer
../abc\EGFR\30424034_page2_147_0.jpg,First-line geﬁtinib in patients with advanced non–small-cell lung cancerharboring somatic EGFR mutations
../abc\EGFR\30424034_page2_147_0.jpg,Epidermal growth factor receptor EGFR tyrosine kinase inhibitors TKIS are effective for leptomeningealmetastasis from non-small cell lung cancer patients with sensitive EGFR mutation or other predictive factorsof good response for EGFR TKI
../abc\EGFR\30424034_page2_147_0.jpg,Osimertinib or platinum–pemetrexed in EGFR T790M–positive lungcancer
../abc\EGFR\30424034_page2_147_0.jpg,Osimertinib for pretreated EGFR Thr790Met-positive advanced non-small-cell lung cancer AURA2 : A multicentre open-label single-arm phase 2 study
../abc\EGFR\30424034_page2_147_0.jpg,Detection of t790m the acquired resistance EGFR mutation by tumorbiopsy versus noninvasive blood-based analyses
../abc\EGFR\30424034_page2_147_0.jpg,A highly sensitive and quantitative test platform for detection ofNSCLC eGFR mutations in urine and plasma
../abc\EGFR\30424034_page2_147_0.jpg,EGFR mutation detection in ctdna from NSCLC patient plasma: A cross-platform comparison of leadingtechnologies to support the clinical development of AZD9291
../abc\EGFR\30424034_page2_147_0.jpg,Prospective validation of rapid plasma genotyping for the detection of EGFR and KRASmutations in advanced lung cancer
../abc\EGFR\30424034_page2_147_0.jpg,Plasma EGFR T790M ctDNA status is associated with clinical outcome in advanced NSCLC patients withacquired EGFR-TKI resistance
../abc\EGFR\31527477_page12_792_0.jpg,EGFR tyrosine kinase inhibition induces autophagy in cancercells
../abc\EGFR\31527477_page12_792_0.jpg,RUBCN rubicon and EGFR regulate lysosomaldegradative processes in the retinal pigment epithelium RPE of the eye
../abc\EGFR\31527477_page12_792_0.jpg,Methylation-induced silencing of SPG20 facilitatesgastric cancer cell proliferation by activating the EGFR MAPK pathway
../abc\EGFR\31527477_page12_792_0.jpg,Nicastrin miR-30a-3p RAB31 Axis Regulates Keratinocyte Diﬀerentiation by Impairing EGFR Signaling inFamilial Acne Inversa
../abc\EGFR\31527477_page12_792_0.jpg,Substance-speciﬁcimportance of EGFR for vascular smooth muscle cells motility in primary culture
../abc\EGFR\31527477_page12_792_0.jpg,EGFR tyrosinekinase inhibitors activate autophagy as a cytoprotective response in human lung cancer cells
../abc\EGFR\31527477_page12_792_0.jpg,Cathepsin S attenuates endosomal EGFR signalling: Amechanical rationale for the combination of cathepsin S and EGFR tyrosine kinase inhibitors
../abc\EGFR\31527477_page12_792_0.jpg,The tyrosine phosphorylated pro-survival form ofFas intensiﬁes the EGF-induced signal in colorectal cancer cells through the nuclear EGFR STAT3-mediatedpathway
../abc\EGFR\31527477_page12_792_0.jpg,EGFR signaling and autophagy dependence for growth survival and therapyresistance
../abc\EGFR\31527477_page12_792_0.jpg,Targeting EGFR HER2 heterodimerization with a novel anti-HER2 domain II III antibody
../abc\EGFR\31527477_page12_792_0.jpg,EGFR mutations in lung cancer: Correlation with clinical response to geﬁtinib therapy
../abc\EGFR\31527477_page12_792_0.jpg,Structures of lungcancer-derived EGFR mutants and inhibitor complexes: Mechanism of activation and insights into diﬀerentialinhibitor sensitivity
../abc\EGFR\31527477_page12_792_0.jpg,Oncogenic transformation by inhibitor-sensitive and -resistant EGFR mutants
../abc\EGFR\31527477_page12_792_0.jpg,EGFR G796Dmutation mediates resistance to osimertinib
../abc\EGFR\31527477_page12_792_0.jpg,Combined inhibition of EGFR andc-ABL suppresses the growth of fulvestrant-resistant breast cancer cells through miR-375-autophagy axis
../abc\EGFR\31527477_page12_792_0.jpg,Extracellular domain of EpCAM enhances tumor progression through EGFR signaling in colon cancercells
../abc\EGFR\31527477_page12_792_0.jpg,CAPE-pNO2 Inhibited the Growthand Metastasis of Triple-Negative Breast Cancer via the EGFR STAT3 Akt E-Cadherin Signaling Pathway
../abc\EGFR\31527477_page12_792_0.jpg,Stress-Induced EGFR Traﬃcking: Mechanisms Functions and Therapeutic Implications
../abc\EGFR\31527477_page12_792_0.jpg,Positive feedback regulationbetween IL10 and EGFR promotes lung cancer formation
../abc\EGFR\31527477_page12_792_0.jpg,Epidermal growth factor receptor EGFR antibody-induced antibody-dependentcellular cytotoxicity plays a prominent role in inhibiting tumorigenesis even of tumor cells insensitive toEGFR signaling inhibition
../abc\EGFR\31527477_page12_792_0.jpg,Vertical suppression of the EGFR pathway prevents onset of resistance in colorectal cancers
../abc\EGFR\31527477_page12_792_0.jpg,Induction of apoptosis by morusin in human non-smallcell lung cancer cells by suppression of EGFR STAT3 activation
../abc\EGFR\31527477_page12_792_0.jpg,inducible EGFR T790M-mediatedgeﬁtinib resistance in non-small cell lung cancer cells does not modulate sensitivity to PI103 provokedautophagy
../abc\EGFR\31527477_page12_792_0.jpg,NOX4 mediates cytoprotective autophagy induced by the EGFR inhibitorerlotinib in head and neck cancer cells
../abc\EGFR\31527477_page12_792_0.jpg,Anactivation of LC3A-mediated autophagy contributes to de novo and acquired resistance to EGFR tyrosinekinase inhibitors in lung adenocarcinoma
../abc\EGFR\31527477_page12_792_0.jpg,Blocking autophagy improves the anti-tumor activity of afatinib in lungadenocarcinoma with activating EGFR mutations in vitro and in vivo
../abc\EGFR\31527477_page12_792_0.jpg,The autophagy inhibitor chloroquineovercomes the innate resistance of wild-type EGFR non-small-cell lung cancer cells to erlotinib
../abc\EGFR\31527477_page12_792_0.jpg,Combined eﬀects of EGFR tyrosine kinase inhibitors and vATPase inhibitors in NSCLC cells
../abc\EGFR\31527477_page12_792_0.jpg,Roles of autophagy in cetuximab-mediated cancer therapy against EGFR
../abc\EGFR\31527477_page12_792_0.jpg,MicroRNA-7 expression in colorectal cancer is associated with poor prognosis and regulatescetuximab sensitivity via EGFR regulation
../abc\EGFR\31527477_page12_792_0.jpg,miR-217 and CAGEform feedback loop and regulates the response to anti-cancer drugs through EGFR and HER2
../abc\EGFR\31527477_page12_792_0.jpg,Synergy between next generation EGFR tyrosinekinase inhibitors and miR-34a in the inhibition of non-small cell lung cancer
../abc\EGFR\31527477_page12_792_0.jpg,Histone Deacetylase-3 CAGE Axis Targets EGFR Signaling andRegulates the Response to Anti-Cancer Drugs
../abc\EGFR\31527477_page12_792_0.jpg,Dual targeting of EGFR can overcome a major drug resistance mutation in mousemodels of EGFR mutant lung cancer
../abc\EGFR\31527477_page12_792_0.jpg,The Presence of Concomitant Mutations Aﬀects the Activity of EGFR Tyrosine KinaseInhibitors in EGFR-Mutant Non-Small Cell Lung Cancer NSCLC Patients
../abc\EGFR\31527477_page12_792_0.jpg,Targeting the EMT transcription factor TWIST1overcomes resistance to EGFR inhibitors in EGFR-mutant non-small-cell lung cancer
../abc\EGFR\31527477_page3_324_0.jpg,EGFR tyrosine kinase inhibition induces autophagy in cancercells
../abc\EGFR\31527477_page3_324_0.jpg,RUBCN rubicon and EGFR regulate lysosomaldegradative processes in the retinal pigment epithelium RPE of the eye
../abc\EGFR\31527477_page3_324_0.jpg,Methylation-induced silencing of SPG20 facilitatesgastric cancer cell proliferation by activating the EGFR MAPK pathway
../abc\EGFR\31527477_page3_324_0.jpg,Nicastrin miR-30a-3p RAB31 Axis Regulates Keratinocyte Diﬀerentiation by Impairing EGFR Signaling inFamilial Acne Inversa
../abc\EGFR\31527477_page3_324_0.jpg,Substance-speciﬁcimportance of EGFR for vascular smooth muscle cells motility in primary culture
../abc\EGFR\31527477_page3_324_0.jpg,EGFR tyrosinekinase inhibitors activate autophagy as a cytoprotective response in human lung cancer cells
../abc\EGFR\31527477_page3_324_0.jpg,Cathepsin S attenuates endosomal EGFR signalling: Amechanical rationale for the combination of cathepsin S and EGFR tyrosine kinase inhibitors
../abc\EGFR\31527477_page3_324_0.jpg,The tyrosine phosphorylated pro-survival form ofFas intensiﬁes the EGF-induced signal in colorectal cancer cells through the nuclear EGFR STAT3-mediatedpathway
../abc\EGFR\31527477_page3_324_0.jpg,EGFR signaling and autophagy dependence for growth survival and therapyresistance
../abc\EGFR\31527477_page3_324_0.jpg,Targeting EGFR HER2 heterodimerization with a novel anti-HER2 domain II III antibody
../abc\EGFR\31527477_page3_324_0.jpg,EGFR mutations in lung cancer: Correlation with clinical response to geﬁtinib therapy
../abc\EGFR\31527477_page3_324_0.jpg,Structures of lungcancer-derived EGFR mutants and inhibitor complexes: Mechanism of activation and insights into diﬀerentialinhibitor sensitivity
../abc\EGFR\31527477_page3_324_0.jpg,Oncogenic transformation by inhibitor-sensitive and -resistant EGFR mutants
../abc\EGFR\31527477_page3_324_0.jpg,EGFR G796Dmutation mediates resistance to osimertinib
../abc\EGFR\31527477_page3_324_0.jpg,Combined inhibition of EGFR andc-ABL suppresses the growth of fulvestrant-resistant breast cancer cells through miR-375-autophagy axis
../abc\EGFR\31527477_page3_324_0.jpg,Extracellular domain of EpCAM enhances tumor progression through EGFR signaling in colon cancercells
../abc\EGFR\31527477_page3_324_0.jpg,CAPE-pNO2 Inhibited the Growthand Metastasis of Triple-Negative Breast Cancer via the EGFR STAT3 Akt E-Cadherin Signaling Pathway
../abc\EGFR\31527477_page3_324_0.jpg,Stress-Induced EGFR Traﬃcking: Mechanisms Functions and Therapeutic Implications
../abc\EGFR\31527477_page3_324_0.jpg,Positive feedback regulationbetween IL10 and EGFR promotes lung cancer formation
../abc\EGFR\31527477_page3_324_0.jpg,Epidermal growth factor receptor EGFR antibody-induced antibody-dependentcellular cytotoxicity plays a prominent role in inhibiting tumorigenesis even of tumor cells insensitive toEGFR signaling inhibition
../abc\EGFR\31527477_page3_324_0.jpg,Vertical suppression of the EGFR pathway prevents onset of resistance in colorectal cancers
../abc\EGFR\31527477_page3_324_0.jpg,Induction of apoptosis by morusin in human non-smallcell lung cancer cells by suppression of EGFR STAT3 activation
../abc\EGFR\31527477_page3_324_0.jpg,inducible EGFR T790M-mediatedgeﬁtinib resistance in non-small cell lung cancer cells does not modulate sensitivity to PI103 provokedautophagy
../abc\EGFR\31527477_page3_324_0.jpg,NOX4 mediates cytoprotective autophagy induced by the EGFR inhibitorerlotinib in head and neck cancer cells
../abc\EGFR\31527477_page3_324_0.jpg,Anactivation of LC3A-mediated autophagy contributes to de novo and acquired resistance to EGFR tyrosinekinase inhibitors in lung adenocarcinoma
../abc\EGFR\31527477_page3_324_0.jpg,Blocking autophagy improves the anti-tumor activity of afatinib in lungadenocarcinoma with activating EGFR mutations in vitro and in vivo
../abc\EGFR\31527477_page3_324_0.jpg,The autophagy inhibitor chloroquineovercomes the innate resistance of wild-type EGFR non-small-cell lung cancer cells to erlotinib
../abc\EGFR\31527477_page3_324_0.jpg,Combined eﬀects of EGFR tyrosine kinase inhibitors and vATPase inhibitors in NSCLC cells
../abc\EGFR\31527477_page3_324_0.jpg,Roles of autophagy in cetuximab-mediated cancer therapy against EGFR
../abc\EGFR\31527477_page3_324_0.jpg,MicroRNA-7 expression in colorectal cancer is associated with poor prognosis and regulatescetuximab sensitivity via EGFR regulation
../abc\EGFR\31527477_page3_324_0.jpg,miR-217 and CAGEform feedback loop and regulates the response to anti-cancer drugs through EGFR and HER2
../abc\EGFR\31527477_page3_324_0.jpg,Synergy between next generation EGFR tyrosinekinase inhibitors and miR-34a in the inhibition of non-small cell lung cancer
../abc\EGFR\31527477_page3_324_0.jpg,Histone Deacetylase-3 CAGE Axis Targets EGFR Signaling andRegulates the Response to Anti-Cancer Drugs
../abc\EGFR\31527477_page3_324_0.jpg,Dual targeting of EGFR can overcome a major drug resistance mutation in mousemodels of EGFR mutant lung cancer
../abc\EGFR\31527477_page3_324_0.jpg,The Presence of Concomitant Mutations Aﬀects the Activity of EGFR Tyrosine KinaseInhibitors in EGFR-Mutant Non-Small Cell Lung Cancer NSCLC Patients
../abc\EGFR\31527477_page3_324_0.jpg,Targeting the EMT transcription factor TWIST1overcomes resistance to EGFR inhibitors in EGFR-mutant non-small-cell lung cancer
../abc\EGFR\31527477_page5_424_0.jpg,EGFR tyrosine kinase inhibition induces autophagy in cancercells
../abc\EGFR\31527477_page5_424_0.jpg,RUBCN rubicon and EGFR regulate lysosomaldegradative processes in the retinal pigment epithelium RPE of the eye
../abc\EGFR\31527477_page5_424_0.jpg,Methylation-induced silencing of SPG20 facilitatesgastric cancer cell proliferation by activating the EGFR MAPK pathway
../abc\EGFR\31527477_page5_424_0.jpg,Nicastrin miR-30a-3p RAB31 Axis Regulates Keratinocyte Diﬀerentiation by Impairing EGFR Signaling inFamilial Acne Inversa
../abc\EGFR\31527477_page5_424_0.jpg,Substance-speciﬁcimportance of EGFR for vascular smooth muscle cells motility in primary culture
../abc\EGFR\31527477_page5_424_0.jpg,EGFR tyrosinekinase inhibitors activate autophagy as a cytoprotective response in human lung cancer cells
../abc\EGFR\31527477_page5_424_0.jpg,Cathepsin S attenuates endosomal EGFR signalling: Amechanical rationale for the combination of cathepsin S and EGFR tyrosine kinase inhibitors
../abc\EGFR\31527477_page5_424_0.jpg,The tyrosine phosphorylated pro-survival form ofFas intensiﬁes the EGF-induced signal in colorectal cancer cells through the nuclear EGFR STAT3-mediatedpathway
../abc\EGFR\31527477_page5_424_0.jpg,EGFR signaling and autophagy dependence for growth survival and therapyresistance
../abc\EGFR\31527477_page5_424_0.jpg,Targeting EGFR HER2 heterodimerization with a novel anti-HER2 domain II III antibody
../abc\EGFR\31527477_page5_424_0.jpg,EGFR mutations in lung cancer: Correlation with clinical response to geﬁtinib therapy
../abc\EGFR\31527477_page5_424_0.jpg,Structures of lungcancer-derived EGFR mutants and inhibitor complexes: Mechanism of activation and insights into diﬀerentialinhibitor sensitivity
../abc\EGFR\31527477_page5_424_0.jpg,Oncogenic transformation by inhibitor-sensitive and -resistant EGFR mutants
../abc\EGFR\31527477_page5_424_0.jpg,EGFR G796Dmutation mediates resistance to osimertinib
../abc\EGFR\31527477_page5_424_0.jpg,Combined inhibition of EGFR andc-ABL suppresses the growth of fulvestrant-resistant breast cancer cells through miR-375-autophagy axis
../abc\EGFR\31527477_page5_424_0.jpg,Extracellular domain of EpCAM enhances tumor progression through EGFR signaling in colon cancercells
../abc\EGFR\31527477_page5_424_0.jpg,CAPE-pNO2 Inhibited the Growthand Metastasis of Triple-Negative Breast Cancer via the EGFR STAT3 Akt E-Cadherin Signaling Pathway
../abc\EGFR\31527477_page5_424_0.jpg,Stress-Induced EGFR Traﬃcking: Mechanisms Functions and Therapeutic Implications
../abc\EGFR\31527477_page5_424_0.jpg,Positive feedback regulationbetween IL10 and EGFR promotes lung cancer formation
../abc\EGFR\31527477_page5_424_0.jpg,Epidermal growth factor receptor EGFR antibody-induced antibody-dependentcellular cytotoxicity plays a prominent role in inhibiting tumorigenesis even of tumor cells insensitive toEGFR signaling inhibition
../abc\EGFR\31527477_page5_424_0.jpg,Vertical suppression of the EGFR pathway prevents onset of resistance in colorectal cancers
../abc\EGFR\31527477_page5_424_0.jpg,Induction of apoptosis by morusin in human non-smallcell lung cancer cells by suppression of EGFR STAT3 activation
../abc\EGFR\31527477_page5_424_0.jpg,inducible EGFR T790M-mediatedgeﬁtinib resistance in non-small cell lung cancer cells does not modulate sensitivity to PI103 provokedautophagy
../abc\EGFR\31527477_page5_424_0.jpg,NOX4 mediates cytoprotective autophagy induced by the EGFR inhibitorerlotinib in head and neck cancer cells
../abc\EGFR\31527477_page5_424_0.jpg,Anactivation of LC3A-mediated autophagy contributes to de novo and acquired resistance to EGFR tyrosinekinase inhibitors in lung adenocarcinoma
../abc\EGFR\31527477_page5_424_0.jpg,Blocking autophagy improves the anti-tumor activity of afatinib in lungadenocarcinoma with activating EGFR mutations in vitro and in vivo
../abc\EGFR\31527477_page5_424_0.jpg,The autophagy inhibitor chloroquineovercomes the innate resistance of wild-type EGFR non-small-cell lung cancer cells to erlotinib
../abc\EGFR\31527477_page5_424_0.jpg,Combined eﬀects of EGFR tyrosine kinase inhibitors and vATPase inhibitors in NSCLC cells
../abc\EGFR\31527477_page5_424_0.jpg,Roles of autophagy in cetuximab-mediated cancer therapy against EGFR
../abc\EGFR\31527477_page5_424_0.jpg,MicroRNA-7 expression in colorectal cancer is associated with poor prognosis and regulatescetuximab sensitivity via EGFR regulation
../abc\EGFR\31527477_page5_424_0.jpg,miR-217 and CAGEform feedback loop and regulates the response to anti-cancer drugs through EGFR and HER2
../abc\EGFR\31527477_page5_424_0.jpg,Synergy between next generation EGFR tyrosinekinase inhibitors and miR-34a in the inhibition of non-small cell lung cancer
../abc\EGFR\31527477_page5_424_0.jpg,Histone Deacetylase-3 CAGE Axis Targets EGFR Signaling andRegulates the Response to Anti-Cancer Drugs
../abc\EGFR\31527477_page5_424_0.jpg,Dual targeting of EGFR can overcome a major drug resistance mutation in mousemodels of EGFR mutant lung cancer
../abc\EGFR\31527477_page5_424_0.jpg,The Presence of Concomitant Mutations Aﬀects the Activity of EGFR Tyrosine KinaseInhibitors in EGFR-Mutant Non-Small Cell Lung Cancer NSCLC Patients
../abc\EGFR\31527477_page5_424_0.jpg,Targeting the EMT transcription factor TWIST1overcomes resistance to EGFR inhibitors in EGFR-mutant non-small-cell lung cancer
../abc\EGFR\31527477_page6_480_0.jpg,EGFR tyrosine kinase inhibition induces autophagy in cancercells
../abc\EGFR\31527477_page6_480_0.jpg,RUBCN rubicon and EGFR regulate lysosomaldegradative processes in the retinal pigment epithelium RPE of the eye
../abc\EGFR\31527477_page6_480_0.jpg,Methylation-induced silencing of SPG20 facilitatesgastric cancer cell proliferation by activating the EGFR MAPK pathway
../abc\EGFR\31527477_page6_480_0.jpg,Nicastrin miR-30a-3p RAB31 Axis Regulates Keratinocyte Diﬀerentiation by Impairing EGFR Signaling inFamilial Acne Inversa
../abc\EGFR\31527477_page6_480_0.jpg,Substance-speciﬁcimportance of EGFR for vascular smooth muscle cells motility in primary culture
../abc\EGFR\31527477_page6_480_0.jpg,EGFR tyrosinekinase inhibitors activate autophagy as a cytoprotective response in human lung cancer cells
../abc\EGFR\31527477_page6_480_0.jpg,Cathepsin S attenuates endosomal EGFR signalling: Amechanical rationale for the combination of cathepsin S and EGFR tyrosine kinase inhibitors
../abc\EGFR\31527477_page6_480_0.jpg,The tyrosine phosphorylated pro-survival form ofFas intensiﬁes the EGF-induced signal in colorectal cancer cells through the nuclear EGFR STAT3-mediatedpathway
../abc\EGFR\31527477_page6_480_0.jpg,EGFR signaling and autophagy dependence for growth survival and therapyresistance
../abc\EGFR\31527477_page6_480_0.jpg,Targeting EGFR HER2 heterodimerization with a novel anti-HER2 domain II III antibody
../abc\EGFR\31527477_page6_480_0.jpg,EGFR mutations in lung cancer: Correlation with clinical response to geﬁtinib therapy
../abc\EGFR\31527477_page6_480_0.jpg,Structures of lungcancer-derived EGFR mutants and inhibitor complexes: Mechanism of activation and insights into diﬀerentialinhibitor sensitivity
../abc\EGFR\31527477_page6_480_0.jpg,Oncogenic transformation by inhibitor-sensitive and -resistant EGFR mutants
../abc\EGFR\31527477_page6_480_0.jpg,EGFR G796Dmutation mediates resistance to osimertinib
../abc\EGFR\31527477_page6_480_0.jpg,Combined inhibition of EGFR andc-ABL suppresses the growth of fulvestrant-resistant breast cancer cells through miR-375-autophagy axis
../abc\EGFR\31527477_page6_480_0.jpg,Extracellular domain of EpCAM enhances tumor progression through EGFR signaling in colon cancercells
../abc\EGFR\31527477_page6_480_0.jpg,CAPE-pNO2 Inhibited the Growthand Metastasis of Triple-Negative Breast Cancer via the EGFR STAT3 Akt E-Cadherin Signaling Pathway
../abc\EGFR\31527477_page6_480_0.jpg,Stress-Induced EGFR Traﬃcking: Mechanisms Functions and Therapeutic Implications
../abc\EGFR\31527477_page6_480_0.jpg,Positive feedback regulationbetween IL10 and EGFR promotes lung cancer formation
../abc\EGFR\31527477_page6_480_0.jpg,Epidermal growth factor receptor EGFR antibody-induced antibody-dependentcellular cytotoxicity plays a prominent role in inhibiting tumorigenesis even of tumor cells insensitive toEGFR signaling inhibition
../abc\EGFR\31527477_page6_480_0.jpg,Vertical suppression of the EGFR pathway prevents onset of resistance in colorectal cancers
../abc\EGFR\31527477_page6_480_0.jpg,Induction of apoptosis by morusin in human non-smallcell lung cancer cells by suppression of EGFR STAT3 activation
../abc\EGFR\31527477_page6_480_0.jpg,inducible EGFR T790M-mediatedgeﬁtinib resistance in non-small cell lung cancer cells does not modulate sensitivity to PI103 provokedautophagy
../abc\EGFR\31527477_page6_480_0.jpg,NOX4 mediates cytoprotective autophagy induced by the EGFR inhibitorerlotinib in head and neck cancer cells
../abc\EGFR\31527477_page6_480_0.jpg,Anactivation of LC3A-mediated autophagy contributes to de novo and acquired resistance to EGFR tyrosinekinase inhibitors in lung adenocarcinoma
../abc\EGFR\31527477_page6_480_0.jpg,Blocking autophagy improves the anti-tumor activity of afatinib in lungadenocarcinoma with activating EGFR mutations in vitro and in vivo
../abc\EGFR\31527477_page6_480_0.jpg,The autophagy inhibitor chloroquineovercomes the innate resistance of wild-type EGFR non-small-cell lung cancer cells to erlotinib
../abc\EGFR\31527477_page6_480_0.jpg,Combined eﬀects of EGFR tyrosine kinase inhibitors and vATPase inhibitors in NSCLC cells
../abc\EGFR\31527477_page6_480_0.jpg,Roles of autophagy in cetuximab-mediated cancer therapy against EGFR
../abc\EGFR\31527477_page6_480_0.jpg,MicroRNA-7 expression in colorectal cancer is associated with poor prognosis and regulatescetuximab sensitivity via EGFR regulation
../abc\EGFR\31527477_page6_480_0.jpg,miR-217 and CAGEform feedback loop and regulates the response to anti-cancer drugs through EGFR and HER2
../abc\EGFR\31527477_page6_480_0.jpg,Synergy between next generation EGFR tyrosinekinase inhibitors and miR-34a in the inhibition of non-small cell lung cancer
../abc\EGFR\31527477_page6_480_0.jpg,Histone Deacetylase-3 CAGE Axis Targets EGFR Signaling andRegulates the Response to Anti-Cancer Drugs
../abc\EGFR\31527477_page6_480_0.jpg,Dual targeting of EGFR can overcome a major drug resistance mutation in mousemodels of EGFR mutant lung cancer
../abc\EGFR\31527477_page6_480_0.jpg,The Presence of Concomitant Mutations Aﬀects the Activity of EGFR Tyrosine KinaseInhibitors in EGFR-Mutant Non-Small Cell Lung Cancer NSCLC Patients
../abc\EGFR\31527477_page6_480_0.jpg,Targeting the EMT transcription factor TWIST1overcomes resistance to EGFR inhibitors in EGFR-mutant non-small-cell lung cancer
../abc\EGFR\31527477_page6_480_1.jpg,EGFR tyrosine kinase inhibition induces autophagy in cancercells
../abc\EGFR\31527477_page6_480_1.jpg,RUBCN rubicon and EGFR regulate lysosomaldegradative processes in the retinal pigment epithelium RPE of the eye
